N (Servidores),K (Mínimo Necessário),P (Prob. Disponibilidade),Disponibilidade Analítica,Disponibilidade Simulada,Diferença Absoluta
4,1,0.1,0.34390000000000004,0.3467,0.002799999999999969
4,1,0.3,0.7598999999999999,0.7611,0.0012000000000000899
4,1,0.5,0.9375,0.9363,0.0011999999999999789
4,1,0.7,0.9919,0.993,0.0010999999999999899
4,1,0.9,0.9999,1.0,9.999999999998899e-05
4,1,0.95,0.99999375,1.0,6.249999999985434e-06
4,1,0.99,0.99999999,1.0,1.0000000050247593e-08
4,2,0.1,0.05230000000000001,0.0498,0.002500000000000016
4,2,0.3,0.3483,0.344,0.004300000000000026
4,2,0.5,0.6875,0.6907,0.0031999999999999806
4,2,0.7,0.9162999999999999,0.9173,0.001000000000000112
4,2,0.9,0.9963,0.9967,0.00040000000000006697
4,2,0.95,0.99951875,0.9997,0.00018125000000002167
4,2,0.99,0.9999960299999999,1.0,3.970000000075302e-06
4,4,0.1,0.00010000000000000002,0.0,0.00010000000000000002
4,4,0.3,0.0081,0.0078,0.0002999999999999999
4,4,0.5,0.0625,0.0628,0.0002999999999999947
4,4,0.7,0.24009999999999995,0.2453,0.005200000000000038
4,4,0.9,0.6561,0.6587,0.0025999999999999357
4,4,0.95,0.8145062499999999,0.8162,0.0016937500000001604
4,4,0.99,0.96059601,0.9593,0.001296009999999903
10,1,0.1,0.6513215599000001,0.6545,0.003178440099999902
10,1,0.3,0.9717524750999993,0.9747,0.0029475249000007198
10,1,0.5,0.9990234375,0.999,2.3437500000000888e-05
10,1,0.7,0.9999940950999998,0.9999,9.409509999980248e-05
10,1,0.9,0.9999999999,1.0,1.000000082740371e-10
10,1,0.95,0.9999999999999024,1.0,9.758860386455126e-14
10,1,0.99,1.0,1.0,0.0
10,5,0.1,0.0016349374000000007,0.0016,3.4937400000000646e-05
10,5,0.3,0.15026833259999994,0.1564,0.006131667400000068
10,5,0.5,0.623046875,0.6266,0.003553125000000046
10,5,0.7,0.9526510126,0.9514,0.0012510125999999344
10,5,0.9,0.9998530974,0.9999,4.6902600000064965e-05
10,5,0.95,0.9999972454173829,1.0,2.75458261711492e-06
10,5,0.99,0.9999999997971061,1.0,2.0289392388406213e-10
10,10,0.1,1.0000000000000006e-10,0.0,1.0000000000000006e-10
10,10,0.3,5.9048999999999975e-06,0.0,5.9048999999999975e-06
10,10,0.5,0.0009765625,0.0008,0.00017656249999999996
10,10,0.7,0.02824752489999998,0.0291,0.0008524751000000205
10,10,0.9,0.3486784401000001,0.3444,0.004278440100000114
10,10,0.95,0.5987369392383787,0.5984,0.0003369392383786307
10,10,0.99,0.9043820750088044,0.907,0.0026179249911956193
